Código;Local/Unidade
01.01.0085.01.0044;SEMSA - UBS FRANK ROSEMBERG CALDERON
01.01.0085.01.0045;SEMSA - UBS FREI VALERIO DI CARLO
01.01.0085.01.0046;SEMSA - UBS GEBES DE MEDEIROS
01.01.0085.01.0047;SEMSA - UBS GERALDO MAGELA
01.01.0085.01.0082;SEMSA - UBS GILSON MOREIRA
01.01.0085.01.0048;SEMSA - UBS GUILHERME ALEXANDRE
01.01.0085.01.0049;SEMSA - UBS JAPIIM
01.01.0085.01.0050;SEMSA - UBS JOÃO NOGUEIRA
01.01.0085.01.0051;SEMSA - UBS JOSE FIGLIOUOLO
01.01.0085.01.0039;SEMSA - UBS JOSE RAYOL DOS SANTOS
01.01.0085.01.0052;SEMSA - UBS JOSEPHINA DE MELO
01.01.0085.01.0053;SEMSA - UBS LAGO DO ALEIXO
01.01.0085.01.0087;SEMSA - UBS LEONOR DE FREITAS
01.01.0085.01.0054;SEMSA - UBS LINDALVA DAMASCENO
01.01.0085.01.0055;SEMSA - UBS LOURENÇO BORGHI
01.01.0085.01.0056;SEMSA - UBS LUCIO FLAVIO DE VASCONCELOS
01.01.0085.01.0057;SEMSA - UBS LUIZ MONTENEGRO
01.01.0085.01.0058;SEMSA - UBS MANSOUR BULBOL
01.01.0085.01.0059;SEMSA - UBS MARIA IDA MENTONI
01.01.0085.01.0106;SEMSA - UBS MARIA LEONOR BRILHANTE
01.01.0085.01.0060;SEMSA - UBS MAUAZINHO
01.01.0085.01.0061;SEMSA - UBS MEGUMO KADO
01.01.0085.01.0088;SEMSA - UBS MJ PM SALVIO BELOTA
01.01.0085.01.0089;SEMSA - UBS MORRO DA LIBERDADE
01.01.0085.01.0063;SEMSA - UBS NILTON LINS
01.01.0085.01.0064;SEMSA - UBS NOVA ESPERANÇA
01.01.0085.01.0065;SEMSA - UBS PETROPOLIS
01.01.0085.01.0066;SEMSA - UBS REDENÇÃO
01.01.0085.01.0067;SEMSA - UBS SANTA LUZIA
